AWB Id,Employee Name,Status,Date
100026,admin@company.com,Created,"Sep 14,2020 08:58"
100027,admin@company.com,Created,"Sep 23,2020 02:17"
100028,admin@company.com,Created,"Sep 28,2020 03:14"
100029,admin@company.com,Created,"Sep 28,2020 04:01"
100030,admin@company.com,Created,"Sep 29,2020 02:25"
100031,admin@company.com,Created,"Sep 29,2020 02:32"
100032,admin@company.com,Created,"Sep 30,2020 04:34"
100033,admin@company.com,Created,"Sep 30,2020 06:21"
100034,admin@company.com,Created,"Sep 30,2020 10:57"
100035,admin@company.com,Created,"Sep 30,2020 11:04"
100036,admin@company.com,Created,"Sep 30,2020 11:05"
100037,admin@company.com,Created,"Sep 30,2020 11:06"
100038,admin@company.com,Created,"Sep 30,2020 11:47"
100039,admin@company.com,Created,"Oct 01,2020 02:58"
100040,admin@company.com,Created,"Oct 01,2020 03:11"
100041,admin@company.com,Created,"Oct 09,2020 01:54"
100042,admin@company.com,Created,"Oct 20,2020 06:40"
100043,admin@company.com,Created,"Oct 20,2020 06:47"
100044,admin@company.com,Created,"Oct 20,2020 06:48"
100045,admin@company.com,Created,"Oct 20,2020 07:14"
100046,admin@company.com,Created,"Oct 20,2020 07:25"
100047,admin@company.com,Created,"Oct 20,2020 07:35"
100048,admin@company.com,Created,"Oct 20,2020 07:37"
100049,admin@company.com,Created,"Oct 20,2020 07:39"
100050,admin@company.com,Created,"Oct 20,2020 07:40"
100051,admin@company.com,Created,"Oct 20,2020 07:41"
100052,admin@company.com,Created,"Oct 20,2020 07:48"
100053,admin@company.com,Created,"Oct 20,2020 07:55"
100054,admin@company.com,Created,"Oct 22,2020 04:02"
100055,admin@company.com,Created,"Nov 04,2020 05:46"
100056,admin@company.com,Created,"Nov 05,2020 01:14"
100057,admin@company.com,Created,"Nov 05,2020 07:25"
100058,admin@company.com,Created,"Nov 05,2020 07:25"
100059,admin@company.com,Created,"Nov 05,2020 07:28"
100060,admin@company.com,Created,"Nov 05,2020 07:32"
100061,admin@company.com,Created,"Nov 05,2020 07:33"
100062,admin@company.com,Created,"Nov 06,2020 07:46"
100063,admin@company.com,Created,"Nov 09,2020 06:02"
100064,admin@company.com,Created,"Nov 09,2020 06:04"
100065,admin@company.com,Created,"Nov 09,2020 08:01"
100066,admin@company.com,Created,"Nov 17,2020 01:51"
100067,admin@company.com,Created,"Nov 17,2020 03:26"
100068,admin@company.com,Created,"Nov 17,2020 03:34"
100069,admin@company.com,Created,"Nov 17,2020 03:54"
100070,admin@company.com,Created,"Nov 18,2020 01:20"
100071,admin@company.com,Created,"Nov 18,2020 01:29"
100072,admin@company.com,Created,"Nov 18,2020 04:01"
100073,admin@company.com,Created,"Nov 19,2020 05:19"
100074,admin@company.com,Created,"Nov 19,2020 05:21"
100075,admin@company.com,Created,"Nov 19,2020 05:27"
100076,admin@company.com,Created,"Nov 19,2020 05:28"
100077,admin@company.com,Created,"Nov 19,2020 05:30"
100078,admin@company.com,Created,"Nov 19,2020 05:31"
100079,admin@company.com,Created,"Nov 19,2020 05:32"
100080,admin@company.com,Created,"Nov 19,2020 05:38"
100081,admin@company.com,Created,"Nov 19,2020 05:41"
100082,admin@company.com,Created,"Nov 19,2020 05:42"
100083,admin@company.com,Created,"Nov 19,2020 05:49"
100084,admin@company.com,Created,"Nov 19,2020 05:51"
100085,admin@company.com,Created,"Nov 19,2020 05:52"
100086,admin@company.com,Created,"Nov 19,2020 05:53"
100087,admin@company.com,Created,"Nov 19,2020 06:04"
100088,admin@company.com,Created,"Nov 19,2020 06:13"
100089,admin@company.com,Created,"Nov 19,2020 06:15"
100090,admin@company.com,Created,"Nov 19,2020 06:16"
100091,admin@company.com,Created,"Nov 19,2020 06:17"
100092,admin@company.com,Created,"Nov 19,2020 06:18"
100093,admin@company.com,Created,"Nov 19,2020 06:19"
100094,admin@company.com,Created,"Nov 19,2020 06:20"
100095,admin@company.com,Created,"Nov 19,2020 06:21"
100096,admin@company.com,Created,"Nov 19,2020 06:22"
100097,admin@company.com,Created,"Nov 19,2020 06:23"
100098,admin@company.com,Created,"Nov 19,2020 06:37"
100099,admin@company.com,Created,"Nov 19,2020 06:39"
100100,admin@company.com,Created,"Nov 19,2020 07:59"
100101,admin@company.com,Created,"Nov 19,2020 08:43"
100102,admin@company.com,Created,"Nov 19,2020 09:24"
100103,admin@company.com,Created,"Nov 20,2020 06:33"
100104,admin@company.com,Created,"Nov 20,2020 07:23"
100105,admin,Created,"Nov 23,2020 07:15"
100106,admin,Created,"Nov 26,2020 09:27"
100107,admin,Created,"Dec 03,2020 04:47"
100108,admin,Created,"Dec 03,2020 05:25"
100109,admin,Created,"Dec 11,2020 07:33"
100110,admin,Created,"Dec 14,2020 02:50"
100111,admin,Created,"Dec 14,2020 02:53"
100112,admin,Created,"Dec 14,2020 03:11"
100113,admin,Created,"Dec 15,2020 00:58"
100114,admin,Created,"Dec 15,2020 01:16"
100115,admin,Created,"Dec 15,2020 01:41"
100116,admin,Created,"Dec 15,2020 06:42"
100117,admin,Created,"Dec 23,2020 03:28"
100118,admin,Created,"Dec 23,2020 03:36"
100119,admin,Created,"Dec 23,2020 03:36"
-,admin,Created,"Dec 23,2020 03:38"
100121,admin,Created,"Dec 24,2020 03:05"
100122,admin,Created,"Dec 24,2020 10:59"
100123,admin,Created,"Dec 28,2020 01:06"
100124,admin,Created,"Dec 28,2020 01:08"
100125,admin,Created,"Dec 28,2020 01:08"
100126,admin,Created,"Dec 28,2020 02:07"
100127,admin,Created,"Dec 28,2020 07:00"
100128,admin,Created,"Dec 28,2020 07:00"
100131,admin,Created,"Dec 28,2020 07:14"
100136,admin,Created,"Dec 28,2020 08:01"
100137,admin,Created,"Dec 28,2020 08:12"
100138,admin,Created,"Dec 28,2020 08:24"
100139,admin,Created,"Dec 28,2020 08:31"
-,admin,Created,"Dec 29,2020 01:50"
-,admin,Created,"Dec 29,2020 02:33"
100142,admin,Created,"Dec 29,2020 04:58"
-,admin,Created,"Dec 29,2020 04:59"
-,admin,Created,"Jan 04,2021 07:32"
100145,admin,Created,"Jan 04,2021 07:33"
100146,admin,Created,"Jan 04,2021 07:35"
100147,admin,Created,"Jan 04,2021 07:36"
100148,admin,Created,"Jan 04,2021 08:26"
100149,admin,Created,"Jan 04,2021 08:26"
100150,admin,Created,"Jan 04,2021 08:27"
100151,admin,Created,"Jan 04,2021 08:27"
100152,admin,Created,"Jan 04,2021 08:32"
100153,admin,Created,"Jan 04,2021 08:32"
100154,admin,Created,"Jan 04,2021 08:32"
100155,admin,Created,"Jan 04,2021 08:36"
100156,admin,Created,"Jan 04,2021 08:36"
100157,admin,Created,"Jan 04,2021 08:36"
100158,admin,Created,"Jan 04,2021 08:37"
100159,admin,Created,"Jan 04,2021 08:38"
100160,admin,Created,"Jan 04,2021 08:39"
100161,admin,Created,"Jan 04,2021 08:42"
100162,admin,Created,"Jan 04,2021 08:43"
100163,admin,Created,"Jan 04,2021 08:47"
100164,admin,Created,"Jan 04,2021 08:52"
100165,admin,Created,"Jan 04,2021 08:53"
100166,admin,Created,"Jan 04,2021 09:01"
-,admin,Created,"Jan 04,2021 09:11"
100168,admin,Created,"Jan 04,2021 09:21"
100169,admin,Created,"Jan 05,2021 04:52"
100170,admin,Created,"Jan 05,2021 05:23"
100171,admin,Created,"Jan 05,2021 09:16"
-,admin,Created,"Jan 05,2021 09:23"
100173,admin,Created,"Jan 05,2021 09:24"
100174,admin,Created,"Jan 06,2021 00:58"
100175,admin,Created,"Jan 06,2021 01:20"
100176,admin,Created,"Jan 06,2021 01:21"
100177,admin,Created,"Jan 06,2021 01:32"
100178,admin,Created,"Jan 06,2021 01:32"
100179,admin,Created,"Jan 06,2021 01:54"
100180,admin,Created,"Jan 06,2021 01:55"
100181,admin,Created,"Jan 06,2021 01:55"
100182,admin,Created,"Jan 06,2021 02:05"
100183,admin,Created,"Jan 06,2021 03:13"
100184,admin,Created,"Jan 06,2021 03:15"
100185,admin,Created,"Jan 06,2021 03:16"
100186,admin,Created,"Jan 06,2021 03:20"
100187,admin,Created,"Jan 06,2021 03:25"
100188,admin,Created,"Jan 06,2021 07:39"
100189,admin,Created,"Jan 07,2021 01:17"
100190,admin,Created,"Jan 07,2021 01:25"
100191,admin,Created,"Jan 07,2021 01:27"
100192,admin,Created,"Jan 07,2021 01:28"
100193,admin,Created,"Jan 07,2021 01:29"
100194,admin,Created,"Jan 07,2021 01:29"
100195,admin,Created,"Jan 07,2021 01:29"
100196,admin,Created,"Jan 07,2021 02:52"
100197,admin,Created,"Jan 07,2021 02:54"
100198,admin,Created,"Jan 07,2021 03:00"
100199,admin,Created,"Jan 07,2021 03:00"
100200,admin,Created,"Jan 07,2021 03:01"
100201,admin,Created,"Jan 07,2021 03:01"
100202,admin,Created,"Jan 07,2021 03:01"
100203,admin,Created,"Jan 07,2021 03:02"
100204,admin,Created,"Jan 07,2021 03:10"
100205,admin,Created,"Jan 07,2021 03:19"
100206,admin,Created,"Jan 07,2021 03:46"
100207,admin,Created,"Jan 07,2021 03:46"
100208,admin,Created,"Jan 07,2021 03:50"
100209,admin,Created,"Jan 07,2021 04:18"
100210,admin,Created,"Jan 07,2021 04:19"
100211,admin,Created,"Jan 07,2021 04:19"
100212,admin,Created,"Jan 07,2021 04:21"
100213,admin,Created,"Jan 07,2021 04:26"
100214,admin,Created,"Jan 07,2021 04:26"
100215,admin,Created,"Jan 07,2021 04:28"
100216,admin,Created,"Jan 07,2021 04:28"
100217,admin,Created,"Jan 07,2021 04:29"
100218,admin,Created,"Jan 07,2021 04:38"
100219,admin,Created,"Jan 07,2021 04:44"
100220,admin,Created,"Jan 07,2021 05:34"
100221,admin,Created,"Jan 07,2021 05:34"
100222,admin,Created,"Jan 07,2021 05:36"
100223,admin,Created,"Jan 07,2021 05:36"
100224,admin,Created,"Jan 07,2021 05:39"
100225,admin,Created,"Jan 07,2021 05:39"
100226,admin,Created,"Jan 07,2021 05:40"
100227,admin,Created,"Jan 07,2021 05:40"
100228,admin,Created,"Jan 07,2021 05:51"
100229,admin,Created,"Jan 07,2021 05:52"
